ID,TweetAuthor,TweetAvatar,TweetText,TweetImages,IsTweetAReply,QuoteAuthor,QuoteAvatar,QuoteText,QuoteImages,IsQuoteAReply,Categorization
6011,@arimakaveli,https://pbs.twimg.com/profile_images/1613591131471712263/bXpogchG_normal.jpg,"""Que ganas de fumarme un porrito y tomarme una línea"" Gracias  por hacerme reir las mañanas. La suben...",,false,,,,,,NEGATIVE
6012,@_gomezmartin,https://pbs.twimg.com/profile_images/1602081821159825408/p0jP_RQ9_normal.jpg,Escuchar lana del rey es como tomarme una línea de merca,,false,,,,,,NEGATIVE
6013,@georcavilla,https://pbs.twimg.com/profile_images/1240162847532945410/ZaIBhDqZ_normal.jpg,"A las 10 am ya tomé un latte, un expreso y estoy esperando un capuchino. Si sigo así, voy a tener que tomarme una línea para sobrevivir",,false,,,,,,NEGATIVE
6014,@Ampii17sosa,https://pbs.twimg.com/profile_images/1798213100279152640/0lYphU7t_normal.jpg,"Para mi que estaba pensando en ""que ganas de tomarme una línea que tengo dios meío"" deah",,false,@vilcapugio,https://pbs.twimg.com/profile_images/977668339869810696/-itQaQAW_mini.jpg,"Todos miran la moneda menos Maradona, que mira al capitán rival. ¿Cómo no vas a salir campeón?",https://pbs.twimg.com/media/ER9pESAWsAA_wlK?format=jpg&name=small,false,NEGATIVE
6015,@Aye_S_,https://pbs.twimg.com/profile_images/1828461681837588480/rb-lOzTS_normal.jpg,"Amo tomarme una línea de colectivos que no conozco, salgo de mi zona de confort (??",,false,,,,,,NEGATIVE
6016,@gordillaz,https://pbs.twimg.com/profile_images/1855780831282810880/H2AOJlS2_normal.jpg,esa cantidad de azucar creo que tomarme una linea de merca es mas sano que una taza de ese teé https:///iNabber69/status/1235614615964282881…,,false,,,,,,NEGATIVE
6017,@AiloGarin,https://pbs.twimg.com/profile_images/1872107906318868480/dc4e68i7_normal.jpg,No les puedo explicar la emoción que me genera tomarme una línea de colectivo nueva.,,false,,,,,,NEGATIVE
6018,@azuluzbelitoo,https://pbs.twimg.com/profile_images/1811117592716992515/PsNmgq0k_normal.jpg,Para mirar euphoria tengo que tomarme una línea de glitter o puedo mirar así nomás?,,false,,,,,,NEGATIVE
6019,@lunnanahi_,https://pbs.twimg.com/profile_images/1870887401578520576/GDzOCVMW_normal.jpg,"uno me mandó un video de la nada de una bolsita de merca y me dice ""algún deía voy a tomarme una línea en tu [ANATOMIA]"" 😂",,false,,,,,,NEGATIVE
6020,@_reyheart_,https://pbs.twimg.com/profile_images/1833833514627678209/4EMnvK-i_normal.jpg,cosas muy [INSULTO] que me divierten: tomarme una linea de colectivo por primera vez,,false,,,,,,NEGATIVE
6021,@lauleotta,https://pbs.twimg.com/profile_images/1501215459/Lar_editada_dos_normal.jpg,"que ganas de tomarme una línea. La del 59, que me lleva a mi casa.",,false,,,,,,NEGATIVE
6022,@chinagirlsay,https://pbs.twimg.com/profile_images/1815362285113618432/cK8NWcgr_normal.jpg,Por favor que a esta mina no se le ocurra tomarme una linea del tiempo porque no sé un [GROSERIA].,,false,,,,,,NEGATIVE
6023,@Pattodelrojo,https://pbs.twimg.com/profile_images/1273267459441725441/x4PCY5q5_normal.jpg,"*erik sonandose la nariz* le digo 'que te pasa estas enfermo?' Me dice 'no, acabo de tomarme una linea de merca' Jajajajaajajaj",,false,,,,,,NEGATIVE
6024,@TheRealVanina,https://pbs.twimg.com/profile_images/1706257896999161857/OyVFZoSG_normal.jpg,"Jajajajajajajjajajjajaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa... GR, no puedo tomarme una línea de subte en paz!",,false,,,,,,NEGATIVE
6025,@MarVonD,https://pbs.twimg.com/profile_images/1854917243408154624/qkupmvoJ_normal.jpg,Mi súper-poder debe ser tomarme una línea de colectivo que no conozco y llegar igual a destino.,,false,,,,,,NEGATIVE
6026,@agusoyarzun,https://pbs.twimg.com/profile_images/767849707750191108/ynXUnmZH_normal.jpg,Aprender a usar una nueva función de la calculadora científica me genera la misma sensación que tomarme una línea de colectivo nueva para meí.,,false,,,,,,NEGATIVE
6027,@Nahueel_Copa,https://pbs.twimg.com/profile_images/1390700036451930113/IU9_DeOq_normal.jpg,Qe ganas de tomarme una Linea :3 Na mentira de tomar una Cervecita (:,,false,,,,,,NEGATIVE
6028,@MalconIglesias,https://pbs.twimg.com/profile_images/574059420486791169/ytzXIx7j_normal.jpeg,estoy para tomarme una linea de nesquik ,,false,,,,,,NEGATIVE
6029,@Elmaximo,https://pbs.twimg.com/profile_images/1851917067697418240/uDsV7iyA_normal.jpg,Voy a pensar en tomarme una linea que nunca uso a ver si viene el colectivo que quiero. Maldita Ley de Murphy.,,false,,,,,,NEGATIVE
6030,@BichyIbarraN12,https://pbs.twimg.com/profile_images/1284628206172155905/ZVMoaxoq_normal.jpg,En esa ventana siempre veo sombras. Que cagaso [INSULTO]. Un dia de estos voy a qedar dura y n por tomarme una linea.,,false,,,,,,NEGATIVE
6031,@TyroneZudaire,https://pbs.twimg.com/profile_images/1616053575439851520/HAZHeeu5_normal.jpg,Que ganas de tomarme una linea de panqueque aleman,,false,,,,,,NEGATIVE
6032,@Luchonicolas3,https://pbs.twimg.com/profile_images/1252686194556776449/RhzlIDO4_normal.jpg,"Si yo contará la cantidad de cosas que me paso con el subte: bajarme del colectivo para tomarme una línea que no me llevaba, bajarme antes 😂",,false,,,,,,NEGATIVE
6033,@ccumulonimbus,https://pbs.twimg.com/profile_images/1527315669842178048/wCdci2tz_normal.jpg,"Todo por tomarme una línea que enmi vida me tome, esto me pasa por traicionera",,false,,,,,,NEGATIVE
6034,@camicamila42,https://pbs.twimg.com/profile_images/1219265130590023680/IpBAMcv7_normal.jpg,'me tendria que fumar un porro y tomarme una linea a ver si se me pasa' . Mi mamá queriendo que se le vaya el dolor de pierna jajaja -,,false,,,,,,NEGATIVE
6035,@PauliSanchez12,https://pbs.twimg.com/profile_images/1695995373595066368/nnkA6RE2_normal.jpg,"Estoy pensando seriamente en inyectarme cafe, o tomarme una linea para no dormirme. Me mata el sueñooo 😖",,false,,,,,,NEGATIVE
6036,@MajoProsis,https://pbs.twimg.com/profile_images/1368279241905868808/afwYamld_normal.jpg,Yo tengo miedo de tomarme una linea de colé que no es la de siempre y hay nenes de meápor 8 a los que van solos a todos lados.  ,,false,,,,,,NEGATIVE
6037,@AguusRau,https://pbs.twimg.com/profile_images/1492560065429180418/W78RH6Vs_normal.jpg,"""quiero tomarme una línea entre [ANATOMIA]"" me parece un piropazo",,false,,,,,,NEGATIVE
6038,@SharitoCastro2,https://pbs.twimg.com/profile_images/1364356238990008320/MfA4SXj-_normal.jpg,Que ganas de tomarme una línea de merca y que se me pase todo.ahrre,,false,,,,,,NEGATIVE
6039,@g36660,https://pbs.twimg.com/profile_images/1826979708057141248/cmpYdKCl_normal.jpg,Tengo 4 horas y media para dormir y estoy acá pelotudeando mañana voy a tener que tomarme una línea de café instantáneo y hacerme buches con Red Bull,,false,,,,,,NEGATIVE
6040,@rrenataromero,https://pbs.twimg.com/profile_images/1838391017851985921/NbuwnSCe_normal.jpg,que linda foto dsps de tomarme una linea ahre,,false,,,,,,NEGATIVE
6041,@Lisandro_prlt,https://pbs.twimg.com/profile_images/1858203941139329024/TkUCE39y_normal.jpg,"""Bueno, me voy a ver una peli y tomarme una linea"" JAJAJAJAJAJAJAJAJAJAJA Dio' que chabona",,false,,,,,,NEGATIVE
6042,@Lutorres4,https://pbs.twimg.com/profile_images/1793875149025890304/MqWRzzYF_normal.jpg,Y hasta ya deje de tomarme una linea de colectivo para no ir con miedo,,false,@CaroCara_,https://pbs.twimg.com/profile_images/1691975017137844224/SAtywYGF_mini.jpg,se pusieron a pensar que ya muchos dejamos de disfrutar de caminar en la calle (a cualquier hora) por miedo a que nos roben? hasta ir a la parada es feo,,false,NEGATIVE
6043,@Sabrii0508,https://pbs.twimg.com/profile_images/1794629621893267456/FD4CfARi_normal.jpg,"Me hace mal tomarme una línea de colectivo que no conozco, pienso cada 5' que me voy a perder",,false,,,,,,NEGATIVE
6044,@storinocande,https://pbs.twimg.com/profile_images/1719873216288555008/93AlwM3j_normal.jpg,"""unas ganas de tomarme una linea en tu [ANATOMIA]"" 

Bueno tengo un iman de drogadictos o que",,false,,,,,,NEGATIVE
6045,@pich9u,https://pbs.twimg.com/profile_images/1367879393482248195/RZxTH_A__normal.jpg," es un buen momento para tomarme una línea de coca noOOoooOOq que decia",,false,,,,,,NEGATIVE
6046,@melinadebia,https://pbs.twimg.com/profile_images/1493407406423875586/KGspWx8G_normal.jpg,"Uno me puso tenía la ilusión de tomarme una línea contigo, en serio chamuyan así? si les faltara",,false,,,,,,NEGATIVE
6047,@cecelesss,https://pbs.twimg.com/profile_images/1768984341852360704/pCHUJy5a_normal.jpg,Quiero café pero literalmente meí mamá me prohibió tomarlo que hago tomarme una línea de merca? Boeee no,,false,,,,,,NEGATIVE
6048,@Gianeebarros,https://pbs.twimg.com/profile_images/1789874807112073216/_4ecN2sQ_normal.jpg,"No me pase 16 años de mi vida sin tomar alcohol, sin fumar o sin tomarme una línea de merca para que hoy vengan y me digan que soy igual a ciertas personas!",,false,,,,,,NEGATIVE
6049,@abrilpralong,https://pbs.twimg.com/profile_images/1650979937614979073/rd8w28O1_normal.jpg,me duelen tanto menstruar que en una de esas vi como solución tomarme una línea de pasti y estoy a )( de concretarlo,,false,,,,,,NEGATIVE
6050,@matiasgaraujo,https://pbs.twimg.com/profile_images/1871217095683252224/bmSA7Pmt_normal.jpg,"Aunque sea super causalidad, cada vez que decido tomarme una línea nueva PUM... en el deía se anuncia nuevas unidades.",,false,@CiudadDeBondis,https://pbs.twimg.com/profile_images/1642670987484209152/ljKl4M76_mini.jpg,Llegaron 2 0km para la #Linea85#Linea85 t.co/nmjKgie44s,,false,NEGATIVE
6051,@Anittsantoro,https://pbs.twimg.com/profile_images/1711651386763440128/x7FPdAP3_normal.jpg,"El deía que tuve hoy mamita, anoche dormí 4 horas, arranque 8am laburando hasta las 7, metí 3 horas de ensayo, llegue a casa y me llamaron para un laburo y ahora estoy a 220 toda alterada corte no se si irme a dormir o tomarme una línea de merca ahre",,false,,,,,,NEGATIVE
6052,@AilenAlienR,https://pbs.twimg.com/profile_images/1260475966117285890/RTWmu5LH_normal.jpg,Acabo de tomarme una línea de colectivo que creí que no existía tipo siempre la veo en cual colectivo pero desde que vivo en este barrio (5 años) nunca la vi pasar. El famoso colectivo fantasma. Si desaparezco ya saben.,,false,,,,,,NEGATIVE
6053,@2014Fatii,https://pbs.twimg.com/profile_images/1830444186778136576/Yr9aXLqX_normal.jpg,"Ya que tenía que tomarme una línea completa de subte, pedí que me toque el de asientos acolchonados por el bien de mis nalgas 🤣",,false,,,,,,NEGATIVE
6054,@pipaconpan,https://pbs.twimg.com/profile_images/1512503751030063111/ssJZMeAk_normal.jpg,"cuando toy re mal y ansiosa lo unico que quiero hacer es SER FLACA es muy turbio, es como que me agarran ganas de tomarme una linea de merca pero de ser flaca",,false,,,,,,NEGATIVE
